"age","gender","married","has_children","home_country","home_city","home_airport","sign_up_date","user_id","num_clicks","user_visit_frequency","avg_session_duration","session_duration_total","days_since_last_session","membership_days","bounce_rate","avg_click_rate","repeat_booking_count","num_flights","avg_num_bags","num_seats_booked","avg_km_flown","time_after_booking_days","flight_booking_rate","hotel_booking_rate","flight_discount_effectiveness","hotel_discount_effectiveness","money_spend_hotel","total_spent","customer_value","travel_type","user_perks"
"66","F","true","false","usa","new york","LGA","2021-07-22","23557","82","8","76.63","613","577 days 11:24:00","1300","0.38","7.97","2","0","","","","","0.00","0.25","0","1","3670.50","","low_value_Customer","Local","Free Meal"
"52","F","true","false","usa","kansas city","MCI","2022-02-07","94883","73","8","67.75","542","624 days 06:32:00","1100","0.63","8.03","2","4","0.50","1.50","1451.34","6.50","0.25","0.25","0","0","230.00","3686.36","low_value_Customer","Local","Free Meal"
"52","F","true","true","usa","tacoma","TCM","2022-02-17","101486","131","8","122.25","978","573 days 14:25:00","1090","0.13","8.05","2","2","0.00","1.00","995.68","9.00","0.13","0.25","0","0","2199.00","2578.82","low_value_Customer","Solo","10% Discount on next trip"
"44","F","true","false","usa","boston","BOS","2022-02-17","101961","126","8","117.75","942","599 days 10:33:00","1090","0.13","8.08","5","10","0.40","1.00","1366.57","5.60","0.63","0.63","1","0","2429.00","14855.60","low_value_Customer","Solo","10% Discount on next trip"
"46","F","true","true","usa","miami","TNT","2022-02-24","106907","159","7","169.29","1185","615 days 14:19:00","1083","0.29","7.96","1","2","5.00","6.00","12797.48","224.00","0.14","0.14","0","0","4257.00","32061.12","high_value_Customer","Family","Free Cancelation"
"52","F","false","true","usa","los angeles","LAX","2022-03-10","118043","164","8","153.13","1225","576 days 21:55:00","1069","0.13","8.06","5","6","1.00","2.00","2505.17","8.67","0.38","0.50","0","2","5616.45","19652.19","low_value_Customer","Couple","Free hotel night"
"52","F","true","true","usa","santa ana","SNA","2022-03-13","120851","55","8","51.75","414","609 days 16:29:00","1066","0.50","7.90","1","2","0.00","1.00","2259.80","7.00","0.13","0.13","0","0","2002.00","2771.36","low_value_Customer","Solo","10% Discount on next trip"
"41","F","true","false","usa","el paso","BIF","2022-03-19","125845","159","9","131.78","1186","571 days 10:45:00","1060","0.33","8.12","3","6","0.67","1.33","2861.52","8.33","0.33","0.33","1","0","689.00","11208.92","low_value_Customer","Local","Free Meal"
"19","F","false","false","usa","austin","AUS","2022-03-27","133058","73","8","68.13","545","575 days 03:33:00","1052","0.63","7.97","1","2","0.00","1.00","2887.18","6.00","0.13","0.00","0","0","0.00","","low_value_Customer","Local","Free Meal"
"52","F","false","true","usa","birmingham","BHM","2022-04-14","149058","142","8","131.75","1054","602 days 07:03:00","1034","0.25","8.05","5","10","0.40","1.20","1959.87","5.80","0.63","0.63","1","0","5579.00","24865.60","low_value_Customer","Family","Free Cancelation"
